ticker,date,text,likes,retweets,clean_text,sentiment_score
AAPL,2025-08-01 18:21:12+00:00,Now its Apple's turn to pick a horse in the race. Lots of potential candidates. But the right acquisition could finally turn Apple Intelligence into the personal AI superintelligence that Apple always wanted it to be -- and send $AAPL stock soaring.,1,0,now its apples turn to pick a horse in the race lots of potential candidates but the right acquisition could finally turn apple intelligence into the personal ai superintelligence that apple always wanted it to be and send stock soaring,0
AAPL,2025-08-01 18:20:48+00:00,See that line for the AAPL stock?  That’s how much it was yesterday.  Now look at the Dow and S&amp;P https://t.co/qJSoxu042h,2,0,see that line for the aapl stock that’s how much it was yesterday now look at the dow and sampp,0
AAPL,2025-08-01 17:56:49+00:00,AAPL stock dips pre-earnings—AI hype or cash trap? Dig into SEC filings now! #OngoingNow24 #AAPLStock #StockMarket #TechStocks #InvestSmart #MoneyTraps,0,0,aapl stock dips preearnings—ai hype or cash trap dig into sec filings now ongoingnow24 aaplstock stockmarket techstocks investsmart moneytraps,0
AAPL,2025-08-01 17:52:10+00:00,"Apple Earnings Recap: iPhone Sales Beat Estimates, Stock Pops - Business Insider https://t.co/64jOcSaUIc",0,0,apple earnings recap iphone sales beat estimates stock pops business insider,1
AAPL,2025-08-01 16:05:19+00:00,"Barclays maintains Apple $AAPL at Underweight and raises the price target from $173 to
https://t.co/nNIgz3gZA9",0,0,barclays maintains apple at underweight and raises the price target from to,1
AAPL,2025-08-01 15:58:11+00:00,Apple (AAPL) Shares Jump Following Earnings Report https://t.co/Qo5oKUAkkV,0,0,apple aapl shares jump following earnings report,1
AAPL,2025-08-01 15:53:17+00:00,"@Abecrombietrade @munster_gene I've owned $AAPL stock for 30 years, I've enjoyed around 8 splits. That said innovation is lacking, the fact that they missed the boat on Ai is disappointing. $AAPL gave me wealth beyond my dreams. I do not own   $META, $AAPL gave me opportunities to diversify which I have.",0,0,ive owned stock for 30 years ive enjoyed around 8 splits that said innovation is lacking the fact that they missed the boat on ai is disappointing gave me wealth beyond my dreams i do not own gave me opportunities to diversify which i have,0
AAPL,2025-08-01 14:48:39+00:00,"$TSLA Which other company has a CEO publicly asking for more voting controls??? Jensen Huang has 3.8% of $NVDA shares, Tim Cook has 0.02% of $AAPL shares, do they have issue running the greatest companies in the world? I mean WTF!!!😬",0,0,which other company has a ceo publicly asking for more voting controls jensen huang has 38 of shares tim cook has 002 of shares do they have issue running the greatest companies in the world i mean wtf😬,0
AAPL,2025-08-01 14:31:29+00:00,"Market Insight : Apple (AAPL) shows cautious optimism—strong analyst 'buy' ratings &amp; exciting AI updates, but technicals hint at short-term pressure. Get the details now!

https://t.co/3vGPkiWvPH

#StockMarket #investing #investment #stockmarketnews #AI #AAPL #TechStocks #trading",0,0,market insight apple aapl shows cautious optimism—strong analyst buy ratings amp exciting ai updates but technicals hint at shortterm pressure get the details now stockmarket investing investment stockmarketnews ai aapl techstocks trading,0
AAPL,2025-08-01 14:28:41+00:00,"B of A Securities maintains Apple $AAPL at Buy and raises the price target from $235 to
https://t.co/nNIgz3gZA9",0,0,b of a securities maintains apple at buy and raises the price target from to,0
